Health_Center_Name,City,State,County,Year,Abr,Total_Patients,Children,Adults_under_65,Older_Adults,Racial_Ethnic_Minority,Hispanic_Latino_Ethnicity,African_American,Asian,American_Indian_Alaskan_Native,Native_Hawaiian_Other_Pacific_Islander,More_than_one_race,Best_Served_in_another_language,Patients_at_or_below_200Pct_Poverty,Patients_at_or_below_100Pct_Poverty,Uninsured,Medicaid_CHIP,Medicare,Other_Third_Party,Medical_Services,Dental_Services,Mental_Health_Services,Substance_Abuse_Services,Vision_Services,Enabling_Services,Pct_Pts_with_Hypertension,Pct_Pts_with_Diabetes,Pct_Pts_with_Asthma,Pct_Pts_with_HIV,Prenatal_Patients,Prenatal_Patients_who_delivered,Acces_to_Prenatal_Care,Pct_Births_with_Low_Birth_Weight,Cervical_Cancer_Screening,Adolescent_Weight_Screening_and_Follow Up,Adult_Weight_Screening_and_Follow Up,Colorectal_Cancer_Screening,Childhood_Immunization,Appropriate_Asthma_Treatment_Plan,Cholesterol_Treatment_Lipid_Therapy_CAD,Heart_Attack_Stroke_Treatment_Aspirin_IVD,Blood_Pressure_Control,Total_Cost_per_Patient
"DAMIAN FAMILY CARE CENTERS, INC.",JAMAICA,New York,Queens,2018,NY,12310,0.05272137,0.8900893,0.05718928,0.7957351,0.3521746,0.49013,0.03583123,0.02058191,0.02273365,0.01393956,0.1298132,0.9851629,0.9119166,0.07636068,0.7195776,0.1081235,0.09593826,0.8383428,0.2865963,0.506905,0.02445167,0.1,0.1796101,0.2213234,0.126663,0.1582364,0.06870155,11,1,0.9090909,0,0.3676183,0.8181818,0.662517,0.3063817,0.5,0.7756757,0.7964072,0.821256,0.5738768,2582.427
"EAST HARLEM COUNCIL FOR HUMAN SERVICES, INC.",NEW YORK,New York,New York,2018,NY,10860,0.3994475,0.5244015,0.07615101,0.982887,0.6669787,0.7071163,0.01009028,0.000531067,0.02788104,0.05151354,0.351105,0.9992899,0.9799976,0.1151013,0.7018416,0.08858195,0.09447514,0.7460405,0.4000921,0.09152854,0,0.03453039,0.1833333,0.2676663,0.1552281,0.1151568,0.02480869,9,4,0.8888889,0,0.5480855,0.5797929,0.8146124,0.4180723,0.4916667,0.8797469,0.8596491,0.9152542,0.6723602,1187.503
"EAST HILL FAMILY MEDICAL, INC.",AUBURN,New York,Cayuga,2018,NY,7867,0.4681581,0.4839202,0.0479217,0.2032647,0.03982415,0.06741864,0.006352911,0.003500583,0.002722676,0.09607157,0.003940511,0.8381047,0.5259131,0.02694801,0.6649294,0.0997839,0.2083386,0.75429,0.3688827,0,0,0,0,0.270763,0.1005539,0.04566903,0.000505561,78,39,0.974359,0.075,0.5230557,0.7057957,0.3851969,0.330735,0.25,0.775,0.6,0.7931035,0.5194346,624.4637
EZRAS CHOILIM HEALTH CENTER INC.,MONROE,New York,Orange,2018,NY,24611,0.5689326,0.4068912,0.02417618,0.03147334,0.02805208,0.001029037,0.002326518,0.000402667,0.001431703,4.47E-05,0.4805981,0.8898326,0.770716,0.02498883,0.7911909,0.0235667,0.1602535,0.6473528,0.5398805,0.02507009,0.000203161,0.155784,0,0.04938767,0.03056298,0.02447904,0,1850,1073,0.8091892,0.02597403,0.6026217,0.3586058,0.6603234,0.5587558,0,0.9583333,0.625,0.875,0.6834319,1219.915
"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC.",CORTLAND,New York,Cortland,2018,NY,15204,0.3623389,0.5399237,0.09773744,0.06277392,0.02639355,0.01588482,0.004190888,0.002163039,0,0.01764229,0.000131544,0.7405644,0.4273719,0.0649829,0.3956853,0.1124704,0.4268613,0.9559984,0.08399106,0.00973428,0,0,0,0.2998494,0.1262308,0.04100447,0.000206398,277,178,0.8953069,0.06666667,0.512955,0.5912409,0.6501075,0.7022388,0.4078431,0.7402235,0.8333333,0.8401163,0.7303904,746.7519
FINGER LAKES MIGRANT HEALTH CARE PROJECT,PENN YAN,New York,Yates,2018,NY,28123,0.2996835,0.6298404,0.07047612,0.6547247,0.5029969,0.3500442,0.004607785,0.01043203,0.000774108,0.04545119,0.6299826,0.8668539,0.4498092,0.3188138,0.4509832,0.09035309,0.1398499,0.5526082,0.5764676,0.02453508,0.02972656,0,0.4973865,0.1499039,0.07943846,0.03873625,0.02020462,276,165,0.7934783,0.06060606,0.5831382,0.6896552,0.6337109,0.5001622,0.5470588,0.863354,0.7323077,0.9635627,0.6914038,642.8543
"HEALTHCARE CHOICES NY, INC.",BROOKLYN,New York,Kings,2018,NY,3915,0.09476373,0.8114942,0.09374202,0.7657632,0.3596467,0.4654749,0.05047319,0.005608132,0.01016474,0.005608132,0.1340996,0.8790821,0.7475728,0.05466156,0.5103448,0.1685824,0.2664112,0.7448276,0.3057471,0.3318008,0.02452107,0.1139208,0,0.2714115,0.1829749,0.07098766,0.007201646,0,0,0,0,0.4034034,0.6621004,0.8854489,0.4595745,0.125,0.9285714,0.9565217,0.8793104,0.7503507,2040.611
"HERITAGE HEALTH AND HOUSING, INC.",NEW YORK,New York,New York,2018,NY,5306,0.2216359,0.6551074,0.1232567,0.9340607,0.4743202,0.7461843,0.01526286,0.002826456,0.006218202,0.01017524,0.4385601,0.9862069,0.7172414,0.1181681,0.3501696,0.08085187,0.4508104,0.6134565,0.39804,0.1174143,0,0,0,0.3560235,0.1882186,0.1041475,0.04024578,24,3,0.7916667,0,0.3228255,0.8120689,0.4642857,0.1480076,0.4736842,0.9821429,1,0.9333333,0.6123595,964.8763
"HOUSING WORKS HEALTH SERVICES III, INC.",BROOKLYN,New York,Kings,2018,NY,7131,0.01500491,0.9377366,0.04725845,0.8551494,0.2659091,0.7259701,0.02527363,0.005970149,0.005373134,0.02905473,0.0521666,0.9487504,0.699304,0.1514514,0.7140654,0.09381574,0.04066751,0.7241621,0.06534848,0.5334455,0.06871407,0,0.02215678,0.1988458,0.1050043,0.1285825,0.2724632,19,3,1,0,0.3308458,0.15,0.452908,0.3033981,0,0.921875,0.8333333,1,0.6162215,4328.239
HUDSON HEADWATERS HEALTH NETWORK,QUEENSBURY,New York,Warren,2018,NY,84347,0.1776115,0.602926,0.2194625,0.03171747,0.01328942,0.01385878,0.003703417,0.0009936,0.000400021,0.000258078,0.001363415,0.5253385,0.2162499,0.04996028,0.2352425,0.2522319,0.4625654,0.9575207,0.0746796,0.04206433,0,0,0.001802079,0.2726796,0.1022207,0.07850032,0.001956317,1122,627,0.8832442,0.08477237,0.7204046,0.9021268,0.9593481,0.6408212,0.4791667,0.9954751,0.9124311,0.9042684,0.7817472,1171.122
"HUDSON RIVER HEALTH CARE, INC.",PEEKSKILL,New York,Westchester,2018,NY,232430,0.2123392,0.7113066,0.07635417,0.7963275,0.5001705,0.3408544,0.01969111,0.004124097,0.006576612,0.02443479,0.4409198,0.9705006,0.8295954,0.2628533,0.4980166,0.08940756,0.1497225,0.8612959,0.1711311,0.1025341,0.002917007,0.01971776,0.09758206,0.2082985,0.1123903,0.05167565,0.01346714,8505,3681,0.8068195,0.07075344,0.6110018,0.705412,0.6607918,0.4493327,0.4965065,0.8755004,0.8371385,0.780235,0.6717159,1105.32
"JERICHO ROAD MINISTRIES, INC.",BUFFALO,New York,Erie,2018,NY,17975,0.401669,0.5461474,0.05218359,0.8714936,0.07263865,0.3228403,0.3909648,0.002763427,0.000300373,0.1251952,0.5613908,0.9451056,0.1658349,0.04873435,0.7732962,0.05268428,0.1252851,1,0,0.04817802,0,0,0.3382476,0.1908811,0.1376059,0.05613352,0.001891516,682,373,0.9325513,0.06084656,0.6599913,0.6098987,0.763799,0.4332845,0.4964029,0.8837773,0.9181818,0.8947368,0.5986295,1016.543
JOSEPH P. ADDABBO FAMILY HEALTH CENTER,ARVERNE,New York,Queens,2018,NY,40932,0.3228525,0.5915665,0.08558096,0.9670289,0.2683475,0.8639369,0.02038827,0.02246524,0.01178366,0.005934215,0.1571631,0.9788062,0.9246234,0.08294244,0.5862895,0.07878921,0.2519789,0.9964331,0.2528828,0.01749243,0,0.04881267,0.1155331,0.2469614,0.1448061,0.08419555,0.01186682,589,195,0.6196944,0.1139896,0.5723645,0.4790285,0.6401532,0.2834182,0.3708609,0.9334657,0.8346457,0.8690909,0.5932003,1210.57
L'REFUAH MEDICAL AND REHABILITATION CENTER,BROOKLYN,New York,Kings,2018,NY,28618,0.5431547,0.4124327,0.04441261,0.05759375,0.03434263,0.01096952,0.007464225,0.000577343,0.004989896,0.005608479,0.0195681,0.7958453,0.6673402,0.02016214,0.7598365,0.03599133,0.1840101,0.4756447,0.4796632,0.0103082,0.001327836,0.1671675,0,0.04938655,0.03174696,0.01065237,0.000220394,403,173,0.7344913,0.09142857,0.424626,0.06493507,0.6861466,0.2010796,0.3463035,0.6153846,0.9166667,0.7272727,0.7606558,853.2227
"LA CASA DE SALUD, INC.",BRONX,New York,Bronx,2018,NY,5947,0.09920969,0.8252901,0.07550025,0.9674599,0.6518101,0.3191988,0.003409333,0.002343917,0.000426167,0.07415299,0.2254919,0.8978422,0.7633176,0.02185976,0.7639146,0.1123255,0.1019001,0.7967042,0.1967379,0.2285186,0.04355137,0,0.1335127,0.2180145,0.1519165,0.152385,0.06416209,34,10,0.7941176,0,0.5426829,0.2512195,0.3569778,0.1755006,0,0.8333333,0.625,0.8974359,0.5458468,2049.076
MONTEFIORE MEDICAL CENTER,BRONX,New York,Bronx,2018,NY,9423,0.542184,0.4213096,0.03650642,0.9857848,0.5976497,0.8089361,0.007158726,0.002962232,0.001727968,0,0.253847,0.9865354,0.9141005,0.07110262,0.7325692,0.04860448,0.1477237,0.92253,0.004775549,0.09667834,0.002653083,0,0.5108777,0.2316122,0.1457903,0.2389279,0.01564477,152,87,0.6118421,0.08333334,0.6757538,0.9240203,0.6869799,0.6844603,0.634349,0.9348442,1,0.9918033,0.7292576,1402.057
MORRIS HEIGHTS HEALTH CENTER,BRONX,New York,Bronx,2018,NY,56240,0.4596906,0.4910029,0.04930654,0.9919199,0.6930887,0.4278173,0.01170006,0.00885585,0.01167852,0.3814911,0.336522,0.9721602,0.8880826,0.1861131,0.604143,0.0476707,0.1620733,0.8814367,0.2077881,0.06056188,0.000657895,0.05353841,0.008819345,0.1858692,0.1013739,0.08724684,0.009279432,1193,413,0.7686505,0.1270983,0.6503937,0.7176389,0.7516364,0.4712386,0.6400966,0.927242,0.7268293,0.7626374,0.6596647,1199.227
MOUNT VERNON NEIGHBORHOOD HEALTH CENTER,MOUNT VERNON,New York,Westchester,2018,NY,56326,0.216472,0.6966055,0.08692256,0.9468436,0.402514,0.534919,0.003842405,0,0,0.02112386,0.5079182,0.8339152,0.3044237,0.4190782,0.3948798,0.06721585,0.1188261,0.8725278,0.130011,0.02041686,0.000923197,0.05077584,0.05601321,0.07925601,0.05225275,0.01611525,0.002197534,621,271,0.5603865,0.03703704,0.5857143,0.6857143,0.7,0.3142857,0.9428571,0.6060606,0.8301887,0.9714286,0.0407045,513.4116
NEW YORK CITY HEALTH & HOSPITALS CORPORATION,NEW YORK,New York,New York,2018,NY,156102,0.3012774,0.5877311,0.1109915,0.957826,0.4938147,0.690784,0.1501314,0.009145495,0.01320541,0.0250219,0.6178268,0.8796456,0.8472579,0.2781707,0.5268607,0.08054349,0.1144252,0.9163175,0.1246236,0.03680927,0,0.0813955,0,0.1928817,0.1154081,0.06183628,0.01183593,1131,972,0.7630416,0.05967078,0.7110985,0.9666005,0.6142857,0.7714286,0.7194598,0.8913044,0.8642857,0.6442459,0.7424617,1506.77
"NORTH COUNTRY FAMILY HEALTH CENTER, INC.",WATERTOWN,New York,Jefferson,2018,NY,11083,0.5818822,0.3897862,0.02833168,0.1879476,0.0741322,0.06335777,0.01475841,0.003948111,9.40E-05,0.04690731,0.01461698,0.8409526,0.5374581,0.1654787,0.5632049,0.04854281,0.2227736,0.5163764,0.6433276,0.04213661,0,0,0,0.2615171,0.1201008,0.0615062,0.000524201,9,9,0.3333333,0.25,0.4714286,0.8658724,0.9899455,0.4571429,0.6428571,0.7128713,0.5945946,0.7162162,0.5,788.9268
"NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC.",PULASKI,New York,Oswego,2018,NY,27273,0.2943937,0.5341913,0.171415,0.02350828,0.01416965,0.00453373,0.000977097,0.000469007,7.82E-05,0.005667162,0.003153302,0.7802086,0.2910026,0.03230301,0.4038426,0.1981813,0.365673,0.8799545,0.2492575,0.05408279,0.008983243,0,0,0.4090249,0.1604515,0.0815034,0.00025001,195,137,0.7948718,0.05925926,0.3292273,0.7025588,0.6366829,0.6636034,0.47,0.7920354,0.7683616,0.7237762,0.7412339,793.9321
"NORTHWEST BUFFALO COMMUNITY HEALTH CARE CENTER, INC.",BUFFALO,New York,Erie,2018,NY,25903,0.3022044,0.6074586,0.09033702,0.6082866,0.3221141,0.1893303,0.08669104,0.005503555,0.01554654,0.04009159,0.3310813,0.9353962,0.8346176,0.03084585,0.6168783,0.1070532,0.2452226,0.8504421,0.2900436,0.04335405,0,0,0,0.2300307,0.1254559,0.09850652,0.001180262,654,373,0.7981651,0.1299735,0.8727543,0.9198587,0.9192118,0.4391033,0.5261628,0.9255952,0.855814,0.8533008,0.6922636,979.8896
"OAK ORCHARD COMMUNITY HEALTH CENTER, INC.",BROCKPORT,New York,Monroe,2018,NY,22003,0.3543608,0.534109,0.1115302,0.1817068,0.1061003,0.04595632,0.00724878,0.006301227,0.001042308,0.03501208,0.05349271,0.5665361,0.256919,0.05685588,0.458392,0.1570695,0.3276826,0.742126,0.3153661,0.00549925,0,0.08739717,0.000318138,0.3252438,0.1442717,0.06993692,0.000367444,20,9,0.95,0,0.3764706,0.8137577,0.3223942,0.4470555,0.4704142,0.90625,0.8559322,0.8630435,0.6389796,761.3542
"OPEN DOOR FAMILY MEDICAL CENTER, INC.",OSSINING,New York,Westchester,2018,NY,56156,0.3058979,0.6377235,0.05637866,0.878319,0.7985137,0.0681885,0.01388379,0.001303901,0.002571072,0.09063028,0.6712373,0.8852332,0.6700045,0.4303013,0.3971793,0.03540138,0.137118,0.8706282,0.3537467,0.1715934,0.00014246,0.1069343,0.1448465,0.1569447,0.08048528,0.06839705,0.003497576,1031,515,0.8797284,0.06177606,0.6757407,0.7904633,0.6841922,0.5058202,0.6473029,0.8501838,0.8426966,0.810559,0.7038156,956.0055
"OPPORTUNITY DEVELOPMENT ASSOCIATION, ODA PRIMARY CARE HEALTH CENTER",BROOKLYN,New York,Kings,2018,NY,58569,0.4761222,0.4731513,0.05072649,0.1682563,0.1274007,0.04050075,0.003724431,0.000350994,0.000448492,0.00434842,0.04611655,0.9905723,0.9696439,0.04237737,0.7167444,0.05496082,0.1859175,0.8938347,0.2021035,0.008571087,0,0.03785279,0,0.1140449,0.05772218,0.01948387,0.000267426,1455,659,0.8178694,0.02571861,0.3248129,0.6494304,0.6643359,0.2687374,0.009149623,0.8848921,0.8431373,0.7475,0.6202327,994.5938
"PROJECT RENEWAL, INC.",NEW YORK,New York,New York,2018,NY,10171,0.000196638,0.8951922,0.1046112,0.8161563,0.301149,0.4689093,0.1299694,0.008834522,0.006965681,0.07152566,0.1915249,0.9721926,0.846172,0.3408711,0.4658342,0.1207354,0.07255924,0.9314718,0.05043752,0.1434471,0.1121817,0.01327303,0.05702487,0.1093235,0.07130563,0.04675955,0.006649778,0,0,0,0,0.02272727,0,0.2126522,0.08212011,0,0.8817204,0.8,0.5204082,0.5473888,1102.402
REFUAH HEALTH CENTER,NEW SQUARE,New York,Rockland,2018,NY,68288,0.4401505,0.5216582,0.03819119,0.2198461,0.1589883,0.05705881,0.007034891,0.000726525,0.001931494,0.001151808,0.2186621,0.9351954,0.7187235,0.1503339,0.6548442,0.032319,0.1625029,0.8568416,0.2736791,0.02127753,0,0.1064169,0.01227156,0.1119907,0.06615403,0.01647525,0.002529396,2595,1263,0.6921002,0.04344392,0.414175,0.358507,0.6115753,0.3068941,0.02766393,0.8614232,0.7808219,0.7576923,0.5966502,974.3046
ROCHESTER PRIMARY CARE NETWORK,ROCHESTER,New York,Monroe,2018,NY,105368,0.3311916,0.5428403,0.125968,0.5625487,0.199008,0.3561687,0.05916768,0.002037678,0.00662558,0.01692648,0.1686375,0.921733,0.7241264,0.09468719,0.5483923,0.1549047,0.2020158,0.7744381,0.2520974,0.06653823,0.06343482,0,0.01863944,0.38945,0.2152919,0.09175133,0.05061213,2028,1100,0.7248521,0.09727272,0.5066004,0.8006611,0.3426151,0.5736375,0.4842912,0.6440967,0.7634408,0.8109884,0.5741886,612.0812
"SCHENECTADY FAMILY HEALTH SERVICES, INC.",SCHENECTADY,New York,Schenectady,2018,NY,19364,0.3706879,0.5776182,0.05169386,0.7190792,0.1739108,0.4290715,0.1261761,0.004667785,0.004376048,0.02931952,0.06713489,0.3916084,0.231405,0.1097397,0.6673725,0.08510638,0.1377815,0.6336501,0.5033051,0.05499897,0,0.0242202,0,0.3508899,0.1997367,0.1339038,0.002363488,436,225,0.6766055,0.1017699,0.5935857,0.7784615,0.5906841,0.4069377,0.4044445,0.8899083,0.755102,0.7557003,0.5406308,769.1049
"SETTLEMENT HEALTH AND MEDICAL SERVICES, INC.",NEW YORK,New York,New York,2018,NY,13036,0.348343,0.5768641,0.07479288,0.9870285,0.8755846,0.3758579,0.01453371,0.01493742,0.002018571,0.000807428,0.5068272,0.9656624,0.8565415,0.2154035,0.6093894,0.08583921,0.0893679,0.9654035,0,0.006366984,0.02638846,0,0.3484965,0.2017959,0.134637,0.08057211,0.006754072,406,265,0.7635468,0.09701493,0.7736409,0.7849178,0.6881551,0.5056947,0.7363636,0.9719888,0.8115942,0.8358974,0.5152625,1044.271
"SOUTHERN TIER COMMUNITY HEALTH CENTER NETWORK, INC.",OLEAN,New York,Cattaraugus,2018,NY,9318,0.1618373,0.7081992,0.1299635,0.04498466,0.0143909,0.01990847,0.003432494,0.005720824,0.000800915,0.002173913,0.007405023,0.7034373,0.3804956,0.01556128,0.3687487,0.1699936,0.4456965,0.9694141,0.06546469,0.0716892,0,0,0.05162052,0.2516925,0.09687439,0.07217979,0.000332116,503,276,0.8250497,0.08865248,0.7293917,0.6866812,0.5513368,0.5143871,0.4404762,0.9080459,0.8316832,0.9025271,0.749867,958.5212
"SUNSET PARK HEALTH COUNCIL, INC",BROOKLYN,New York,Kings,2018,NY,137199,0.3289893,0.5920597,0.07895102,0.7649926,0.4134459,0.280416,0.1404554,0.01882348,0.05368456,0.01495122,0.3115037,0.8779679,0.7094935,0.2156867,0.5202589,0.0969905,0.1670639,0.7700202,0.3088871,0.1190606,0.007755158,0.02600602,0.1127268,0.1783381,0.114011,0.05266645,0.04112792,2474,1412,0.8609539,0.07741027,0.6886043,0.8090844,0.7633473,0.4781365,0.56964,0.9169139,0.8522522,0.8602794,0.6362329,1901.161
"SYRACUSE COMMUNITY HEALTH CENTER, INC.",SYRACUSE,New York,Onondaga,2018,NY,27490,0.3932339,0.5448163,0.0619498,0.7717822,0.162583,0.5626186,0.06263973,0.007002151,0.05112414,0.02556207,0.07508185,0.9462134,0.5184036,0.1637686,0.6148054,0.08792288,0.1335031,0.7311749,0.3544198,0.0639869,0.01655147,0.1171699,0.01720626,0.2270495,0.1626235,0.07169154,0.002686567,604,409,0.6738411,0.1113801,0.6285715,0.9379168,0.9012207,0.2714286,0.5601504,0.7321016,0.7621359,0.7487684,0.6728463,782.7485
THE CHAUTAUQUA CENTER,DUNKIRK,New York,Chautauqua,2018,NY,8660,0.3429561,0.6125866,0.04445728,0.3762856,0.3057092,0.04700438,0.006210424,0.005723332,0.003653191,0.04310765,0.1667437,0.9866129,0.7403196,0.0539261,0.5870669,0.07332563,0.2856813,0.7247113,0.2863741,0.1733256,0.01939954,0,0.05646651,0.1960084,0.09732631,0.1811664,0.001752709,97,67,0.7835051,0.1343284,0.7336422,0.1066743,0.5622185,0.6527012,0.2424242,0.8105023,0.862069,0.7032967,0.9216418,876.6835
THE FLOATING HOSPITAL,LONG IS CITY,New York,Queens,2018,NY,20022,0.3783338,0.6035361,0.01813006,0.9436483,0.3601541,0.7484046,0.04339502,0.004467135,0.004467135,0.0539247,0.1128259,0.9658067,0.9025389,0.3207971,0.5634302,0.03021676,0.08555589,0.9239337,0.1473379,0.06737588,0.01573269,0,0.210019,0.0712666,0.05072456,0.1163847,0.00108114,13,4,1,0,0.1501819,0.6382559,0.658688,0.1749324,0.4142857,0.8888889,0.8421053,0.5217391,0.6295844,751.6917
THE INSTITUTE FOR FAMILY HEALTH,NEW YORK,New York,New York,2018,NY,115833,0.2273445,0.6743588,0.09829669,0.7210737,0.3777744,0.4293878,0.03773781,0.006232882,0.03106077,0.03040936,0.1820466,0.812537,0.6029247,0.1260867,0.4425768,0.1054017,0.3259347,0.7682094,0.2263086,0.1818221,0,0,0.1844984,0.2727561,0.1059283,0.09520813,0.01449699,1238,851,0.8432956,0.06666667,0.5297981,0.7198575,0.7089671,0.5084812,0.3551402,0.8812371,0.7926728,0.8618461,0.6351038,1144.318
"UNION COMMUNITY HEALTH CENTER, INC.",BRONX,New York,Bronx,2018,NY,36193,0.3501506,0.5634791,0.08637029,0.9530525,0.605449,0.3709126,0.01449692,0.001834598,0.00043167,0.3313428,0.4494239,0.7373381,0.360424,0.09220015,0.677258,0.05849198,0.1720499,0.6053104,0.4574365,0.03636062,0,0.0993286,0.1250518,0.3518775,0.2376831,0.1027022,0.001186781,560,288,0.6321428,0.07482993,0.6338199,0.7454513,0.5825624,0.6533964,0.4192771,0.8571429,0.8627451,0.8851175,0.6951441,1084.382
"UNITED CEREBRAL PALSY ASSOCIATION OF THE NORTH COUNTRY, INC.",CANTON,New York,St. Lawrence,2018,NY,12164,0.3032719,0.5316508,0.1650773,0.05074496,0.01704792,0.01020229,0.003430079,0.01002639,0.001055409,0.01152155,0.003123972,0.787101,0.573873,0.05351858,0.4207498,0.236682,0.2890497,0.6846432,0.3285926,0.03288392,0,0.06535679,0,0.4487006,0.1835248,0.07204611,0.001200769,2,1,1,0,0.5628319,0.5797753,0.86632,0.6139706,0.5112782,0.8666667,0.770115,0.8941177,0.7593394,809.7424
UNITY HOSPITAL OF ROCHESTER,ROCHESTER,New York,Monroe,2018,NY,1904,0.08245798,0.8807773,0.03676471,0.7236769,0.1888226,0.59199,0.009386733,0.003754693,0.002503129,0.01314143,0.09506302,0.9971671,0.9763928,0.2405462,0.6412815,0.0887605,0.02941176,0.8119748,0.1995798,0.04359244,0,0,0.1759454,0.2622452,0.1338504,0.1216041,0.01423027,9,0,0.1111111,0,0.2598425,0.3454545,0.4272658,0.1837209,0.0625,0.6578947,0.6153846,0.6578947,0.4139785,959.7726
"UPPER ROOM AIDS MINISTRY, INC. HEALTH CARE CENTER",NEW YORK,New York,New York,2018,NY,4315,0.03893395,0.8943222,0.06674392,0.9291233,0.2077022,0.8583097,0.007854225,0.006911718,0.007225887,0.002827521,0.2683662,0.9498182,0.848,0.3918888,0.4690614,0.05979143,0.0792584,0.768482,0.3378911,0.1663963,0,0,0,0.1957407,0.09686215,0.09740651,0.196924,14,9,0.7142857,0.1666667,0.4282655,0.4883721,0.7534466,0.389011,0,0.925,0.7222222,0.8939394,0.5305466,2671.405
"URBAN HEALTH PLAN, INC.",BRONX,New York,Bronx,2018,NY,88689,0.3670241,0.5703639,0.06261205,0.9945162,0.8198752,0.2716806,0.01597837,0.001761966,0.007771958,0.6625473,0.5732391,0.9846525,0.8913513,0.194015,0.6681325,0.06688541,0.07096709,0.9651479,0.09614496,0.06749428,0,0.07220738,0.3550046,0.232756,0.1329633,0.1542092,0.004521134,2237,787,0.8909253,0.07187894,0.6532012,0.8800743,0.767968,0.6098377,0.6395873,0.99678,0.7799443,0.8145519,0.6747584,1398.813
"VOCATIONAL INSTRUCTIONAL PROJECT COMMUNITY SERVICES, INC.",BRONX,New York,Bronx,2018,NY,2387,0.001256808,0.9518224,0.04692082,0.9193128,0.4942757,0.785331,0.008944544,0.000894454,0.000894454,0.01341682,0.09258483,0.9907503,0.9691675,0.1843318,0.751571,0.06367826,0.000418936,0.5249267,0,0.3472979,0.2505237,0.000837872,0.3958944,0.2936351,0.1241008,0.2098963,0.1085395,6,2,0.5,0,0.3002611,0,0.8609325,0.3781676,0,0.8441558,0.4705882,1,0.6430517,4012.3
"WHITNEY M. YOUNG, JR. COMMUNITY HEALTH CENTER COMMUNITY BOARD, INC.",ALBANY,New York,Albany,2018,NY,20823,0.4533929,0.4750997,0.07150747,0.7227186,0.17122,0.4966808,0.09638874,0.0116171,0.007036644,0.05463357,0.112856,0.8475577,0.6018966,0.1032512,0.6601834,0.1013303,0.1352351,0.5667771,0.4883062,0.0415406,0.02674927,0.04134851,0.03640205,0.3608851,0.1647559,0.1154042,0.01796306,356,180,0.7668539,0.09497207,0.6290909,0.8378445,0.7409821,0.4394958,0.3820225,0.8719397,0.8378378,0.91875,0.5611448,1055.229
"WILLIAM F. RYAN COMMUNITY HEALTH CENTER, INC. ",NEW YORK,New York,New York,2018,NY,48660,0.298397,0.579963,0.12164,0.8667052,0.4736249,0.5349538,0.06198415,0.01101849,0.03016672,0.02583361,0.1857994,0.9095789,0.6179597,0.1048089,0.6093917,0.1239827,0.1618167,0.8706946,0.2527949,0.06070695,0.00215783,0.1861077,0.03481299,0.2710175,0.1531056,0.1255901,0.02110083,641,328,0.6864275,0.05151515,0.5678733,0.8924721,0.6646239,0.4175814,0.5852187,0.9459975,0.8881279,0.9004115,0.6850404,1447.233
"ASIAN SERVICES IN ACTION, INC",AKRON,Ohio,Summit,2018,OH,2546,0.2568735,0.6221524,0.1209741,0.946306,0.00989707,0.07829615,0.8596349,0.00040568,0.001217038,0.002028398,0.8750982,0.9291896,0.8194335,0.1327573,0.7301649,0.04124116,0.09583661,0.9874313,0,0.1205813,0,0,0,0.265135,0.1249433,0.01949085,0.001193317,34,26,0.7352941,0.12,0.5781866,0.4744095,0.6928328,0.3810264,0.173913,0.8,0.72,0.8181818,0.6680328,1138.1
"AXESSPOINTE COMMUNITY HEALTH CENTER, INC.",AKRON,Ohio,Summit,2018,OH,18714,0.1590253,0.7649888,0.07598589,0.4261226,0.0646935,0.3196123,0.03184794,0.005224069,0.00541289,0.02454683,0.0568024,0.9465704,0.5613719,0.1503153,0.5656728,0.1126429,0.171369,0.7622101,0.3311425,0.05322219,0,0,0,0.2930544,0.1765662,0.094083,0.00224341,412,282,0.6456311,0.09187279,0.3860312,0.7107558,0.6056894,0.1626441,0.1555556,0.8673684,0.844697,0.8477752,0.7800913,732.1539
"BUTLER COUNTY COMMUNITY HEALTH CONSORTIUM, INC DBA PRIMARY HEALTH SOLUTIONS",HAMILTON,Ohio,Butler,2018,OH,31665,0.4497395,0.4971735,0.053087,0.3960115,0.1898548,0.1578725,0.03291211,0.001900806,0.005702418,0.02608328,0.1034581,0.9549379,0.6926606,0.1027949,0.6946471,0.06098216,0.1415759,0.8432654,0.2780673,0.1395863,0,0.06859308,0,0.3434536,0.1773251,0.04670062,0.000823908,398,202,0.7185929,0.07804878,0.414879,0.4318042,0.8984477,0.3759491,0.1570156,0.864139,0.8553459,0.7952286,0.5195297,630.9076
CARE ALLIANCE,CLEVELAND,Ohio,Cuyahoga,2018,OH,14976,0.1307425,0.7865251,0.08273237,0.7919043,0.04878554,0.737492,0.00652899,0.003619331,0.001916117,0.006103186,0.02751068,0.9843248,0.9020633,0.3689904,0.5231704,0.0536859,0.05415331,0.6738114,0.4308894,0.1188568,0,0,0.2304354,0.2845268,0.1270286,0.07283718,0.01704489,103,50,0.6796116,0.06382979,0.3531637,0.6023658,0.4238089,0.27,0.1111111,0.8941177,0.7310925,0.8019802,0.5426388,903.1743
