<<<<<<< HEAD
﻿Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State
Adult Health Clinic/Cumberland County Health Department,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cumberland County,NC
NATIVE HEALTH Central,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
BVHC Lewistown,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fergus County,MT
S. Mark Taper Center For a Healthy Community - WINNETKA Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Family Health Clinic of Monon,Yes,Service Delivery Site,Permanent,All Other Clinic Types,White County,IN
C.L. Brumback Primary Care Clinic-Delray,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Palm Beach County,FL
"Hurtt Santa Ana Clinic Site, Suite F",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
Cassopolis Family Clinic Network,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cass County,MI
Ambrose H. Clement Health Center (Avondale),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamilton County,OH
OIC Specialty Care Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Edgecombe County,NC
"Evelyn Alexander ""To Draak"" Health Clinic",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yukon-Koyukuk Census Area,AK
CommuniCare Blvd Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX
HARRINGTON FAMILY HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Washington County,ME
LCC CAMPUS HEALTH CLINIC,Yes,Service Delivery Site,Permanent,School,Prowers County,CO
Heart of Florida Health Center  Dunnellon,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,FL
HELP CROTONA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
Blaine Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Grainger County,TN
Mary Eliza Mahoney Health Center @ 140 Bergen Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Essex County,NJ
Comanche School Health Center,Yes,Service Delivery Site,Seasonal,School,Stephens County,OK
La Clinica Oakley Behavioral Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
Family Health Center-Menomonie Dental Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dunn County,WI
Teche Action Clinic @ Thibodaux,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lafourche Parish,LA
PALAU HIGH SCHOOL CLINIC,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Koror State,PW
BRYANT COMMUNITY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hamlin County,SD
BETHEL FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Oxford County,ME
Gateway Behavioral Health Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chatham County,GA
Rolling Fork Satellite,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sharkey County,MS
Salud Fort Lupton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Weld County,CO
Community of Hope Family Health and Birth Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC
ARROYO VISTA FAMILY HEALTH CENTER ~ Highland Park,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
"Carbon Medical Service Association, Inc.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Carbon County,UT
LAS CLINICAS DEL NORTE @ OJO CAL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rio Arriba County,NM
DR. WEEKS ELEMENTARY SBHC,Yes,Service Delivery Site,Permanent,School,Onondaga County,NY
HELP/PSI Services Corporation Mobile Dental Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,New York County,NY
"MOROVIS COMMUNITY HEALTH CENTER, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Morovis Municipio,PR
Brandon Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hillsborough County,FL
Salud Commerce City,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adams County,CO
Women's Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pasco County,FL
WILLLIAM B. ACREE CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,TN
Family Health Center at Cobb,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cobb County,GA
Inland Family Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA
Ritchie Regional Health Center Doddridge School Campus,Yes,Service Delivery Site,Permanent,School,Doddridge County,WV
Vandalia Healthcare Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fayette County,IL
CommWell Health of Tar Heel,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bladen County,NC
Valley View Elementary School SBHC,Yes,Service Delivery Site,Permanent,School,Middlesex County,CT
Circle the City Medical Respite Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
Las Vegas Administration Office,No,Administrative,Permanent,Unknown,Clark County,NV
GVHC - LE GRAND,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Merced County,CA
PENOBSCOT COMMUNITY HEALTH CARE,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME
OPTIMUS Milford Community Health Center at Bridges,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New Haven County,CT
Hillside Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Mendocino County,CA
FCCH/EDGEWOOD CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Fe County,NM
BOLTON HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Warren County,NY
PARK HILL CLINIC & PHARMACY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pueblo County,CO
CVHS Charlottesville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Charlottesville City,VA
Dove Mountain Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pima County,AZ
ARcare - 85,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cleburne County,AR
Jacksonville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Morgan County,IL
Wellness Pointe - Longview Buliding 3,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gregg County,TX
Metro Community Health Centers,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
Long Island City High School,Yes,Service Delivery Site,Permanent,School,Queens County,NY
"Regence Health Network, Inc. RDA - PLNV",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Hale County,TX
Start Community Health Center - New Orleans,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orleans Parish,LA
Aria Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tulare County,CA
Costa Salud Community Health Centers - Moca,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Moca Municipio,PR
Colonial Drive Elementary,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
"Kenosha Community Health Center, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kenosha County,WI
MIGRANT VOUCHER & MOBILE MED VAN CENTRAL & WESTERN,Yes,Administrative/Service Delivery Site,Mobile Van,All Other Clinic Types,Kennebec County,ME
Henry J. Austin Health Center-Warren,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Mercer County,NJ
LifeLong Medical Care--West Oakland,Yes,Service Delivery Site,Permanent,School,Alameda County,CA
Rainier Beach School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,King County,WA
Heritage Health- Timberlake Junior High SBHC,Yes,Service Delivery Site,Permanent,School,Kootenai County,ID
Fairfax Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,VT
Southern Missouri Community Health Center West Plains Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Howell County,MO
Clinica Family Health - People's,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Boulder County,CO
"Grace Community Health Center, Inc",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Knox County,KY
MCHC - Patagonia Family Health Center Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,AZ
Agenaria S. Paschal/Olinda Park Elementary School,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
"Kiamichi Family Medical Center, Inc. - Broken Bow",Yes,Service Delivery Site,Permanent,All Other Clinic Types,McCurtain County,OK
CFHC Winter Haven Primary Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Polk County,FL
Salt Rock Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cabell County,WV
Camden Family Health - Panther Creek,Yes,Service Delivery Site,Permanent,School,Nicholas County,WV
Vernon Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lamar County,AL
Community Practice Clinic Antioch,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Contra Costa County,CA
Star Wellness Dental Van - Bethlehem,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Northampton County,PA
LCHC @ Pigeon River Elementary,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI
Katahdin Valley Health Center Millinocket,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Penobscot County,ME
KVHC Granite Street School,Yes,Service Delivery Site,Permanent,School,Penobscot County,ME
West Manatee Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Manatee County,FL
YES Prep Southside,Yes,Service Delivery Site,Seasonal,School,Harris County,TX
Community Health Care Center SBHC Charles M. Russell High School,Yes,Service Delivery Site,Permanent,School,Cascade County,MT
Harriet Tubman Elementary School,Yes,Administrative/Service Delivery Site,Permanent,School,District of Columbia,DC
Place Bridge Academy,Yes,Service Delivery Site,Seasonal,School,Denver County,CO
Sanctuary Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Barbara County,CA
Tooth Bus B,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orleans Parish,LA
Port Charlotte Family Practice Medical Office,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Charlotte County,FL
MS 88 School-Based Health Center,Yes,Service Delivery Site,Seasonal,School,Kings County,NY
MBCHC North Suite 400,No,Administrative,Permanent,Unknown,Miami-Dade County,FL
GPHA - Spectrum Behavioral Healthcare Center,Yes,Service Delivery Site,Permanent,School,Delaware County,PA
"T.H.E. Clinic, Inc.,  at La Brea",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
The Family Health Center at Lake Forest,Yes,Service Delivery Site,Permanent,School,Fulton County,GA
P.S. 135 - Sheldon A. Brookner,Yes,Administrative/Service Delivery Site,Permanent,School,Kings County,NY
United Health Centers--Lemoore,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,CA
Camarena Health--Cleveland Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Madera County,CA
Lee Student Health Center,Yes,Service Delivery Site,Seasonal,School,Wilson County,NC
Fortuna Community Health and Wellness Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Humboldt County,CA
PanCare Health Wewahitchka,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gulf County,FL
FirstMed Shadow Lane,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Clark County,NV
"Community Medical Clinic, Oak Grove",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Christian County,KY
Florence Crittenton Campus,Yes,Service Delivery Site,Seasonal,School,Denver County,CO
Richford Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,VT
Gary Road Elementary School,Yes,Service Delivery Site,Seasonal,School,Hinds County,MS
Frank J. Macchiarola Educational Complex,Yes,Administrative/Service Delivery Site,Permanent,School,Kings County,NY
Salem Elementary School Wellness Center,Yes,Service Delivery Site,Seasonal,School,Harrison County,WV
HOME Unit,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Buchanan County,MO
AHS Administrative Office,No,Administrative,Permanent,All Other Clinic Types,Alameda County,CA
Anishinabe Academy,Yes,Service Delivery Site,Seasonal,School,Hennepin County,MN
HAZLETON PEDIATRICS,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Luzerne County,PA
"Logan Mingo Area Mental Health, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Mingo County,WV
CDCHC After Hours Clinic,Yes,Service Delivery Site,Permanent,Hospital,King County,WA
"Neighborhood Health Center Southtowns dba of NORTHWEST BUFFALO COMMUNITY HEALTH CARE CENTER, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Erie County,NY
"Good Shepherd Community Clinic, Inc. Administration",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Carter County,OK
ARcare - 40,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Prairie County,AR
Woodside Houses Child Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Queens County,NY
Community Care of Weston II,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis County,WV
Highland Health Providers - Greenfield Medical Services,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Highland County,OH
Monarch School,Yes,Service Delivery Site,Permanent,School,San Diego County,CA
HCHC- Administration Branch,No,Administrative,Permanent,All Other Clinic Types,Los Angeles County,CA
JOHN JAMES AUDUBON HEALTH CENTER,Yes,Service Delivery Site,Seasonal,School,Monroe County,NY
Yakima Pediatrics,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yakima County,WA
AICS Behavioral Health – Lynch Street,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wrangell City and Borough,AK
Morongo Basin Community Health Center-Peds SR,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA
Oscar Paskal Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI
SOUTHSIDE MEDICAL CENTER - Jackson Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Butts County,GA
Community Clinic Springdale Medical - Family Practice,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,AR
Denton Elementary School,Yes,Service Delivery Site,Seasonal,School,Caroline County,MD
Sea Mar CHC - Burien Ambaum Blvd. SW,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA
FAMILY HEALTH CENTER-MEDFORD DENTAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Taylor County,WI
CHEBOYGAN INTERMEDIATE SCHOOL,Yes,Service Delivery Site,Permanent,School,Cheboygan County,MI
Rice Family Health Center,Yes,Service Delivery Site,Permanent,School,San Diego County,CA
Community Health Center of Southeast Kansas/Coffeyville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Montgomery County,KS
RONALD MCDONALD CARE MOBILE,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Collier County,FL
Neighborhood Medical Center Havana Magnet School,Yes,Service Delivery Site,Seasonal,School,Gadsden County,FL
Los Angeles Christian Health Centers at Joshua House,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Community Health Care Center SBHC North Middle School,Yes,Service Delivery Site,Permanent,School,Cascade County,MT
Lebanon R-III School District - Lebanon High School,Yes,Service Delivery Site,Permanent,School,Laclede County,MO
Ana&#39;s Place,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
North Haven Middle School SBHC,Yes,Service Delivery Site,Permanent,School,New Haven County,CT
NCHS Oceanside Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Sea Mar CHC - Lakewood Bridgeport Way W,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA
Castle family Health center @Bloss,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Merced County,CA
SAC Health System SBCUSD School-Based Clinic,Yes,Service Delivery Site,Permanent,School,San Bernardino County,CA
Salud at Northern Colorado AIDS Project,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Larimer County,CO
Mobile Dental Center,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Ingham County,MI
HOMELESS HEALTH CARE LA,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
Community Care of Buckhannon,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Upshur County,WV
BENHAVEN MEDICAL CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harnett County,NC
DONGOLA MEDICAL CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pulaski County,IL
Avenue 360 South Central,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
Neighborcare Health at Chief Sealth International High School,Yes,Service Delivery Site,Seasonal,School,King County,WA
Northside  Community Health Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lafayette Parish,LA
Eva Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Morgan County,AL
Great Lakes Bay Health Centers  Washington Elementary,Yes,Service Delivery Site,Permanent,School,Bay County,MI
DBA LA CASA FAMILY HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Roosevelt County,NM
Health Center at Strasburg,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Adams County,CO
MWH Building,No,Administrative,Permanent,Unknown,Wichita County,TX
Ezra Medical Women's and Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kings County,NY
SPANAWAY CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pierce County,WA
SACHS-Norton Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA
Bayview Hunters Point Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA
Canyonlands Healthcare - Urgent Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Coconino County,AZ
Marlinton Elementary School Wellness Center,Yes,Service Delivery Site,Seasonal,School,Pocahontas County,WV
Venice Family Clinic- Administration,No,Administrative,Permanent,Unknown,Los Angeles County,CA
Mobile Medical Van 2,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,King County,WA
ResourceCare Baird,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Callahan County,TX
"Community Health Care, Inc.",No,Administrative,Permanent,All Other Clinic Types,Cumberland County,NJ
Southeast Community Health Systems - Jewel M. Sumner Middle School-Based,Yes,Service Delivery Site,Seasonal,School,Tangipahoa Parish,LA
Moffat Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Saguache County,CO
27th Avenue Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
West Cecil Health Center,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Harford County,MD
Med Plaza,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Gregg County,TX
HEALTH SERVICES AGENCY MENTAL HEALTH DIVISION,No,Administrative,Permanent,All Other Clinic Types,San Mateo County,CA
ACCESS Centro Médico,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL
BROCKTON NEIGHBORHD HTH CTR MAINspring,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Plymouth County,MA
Children's Care West,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Collier County,FL
CHC/SEIA ADMINISTRATIVE SITE,No,Administrative,Permanent,Unknown,Des Moines County,IA
Meridian Health Services - Suite 102A,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN
Gildersleeve Elementary School SBHC,Yes,Service Delivery Site,Permanent,School,Middlesex County,CT
CAROL CITY MIDDLE SCHOOL SBHC,Yes,Service Delivery Site,Seasonal,School,Miami-Dade County,FL
BIGFORK VALLEY CONVAL & NURSING,Yes,Service Delivery Site,Permanent,Nursing Home,Itasca County,MN
Intermediate School 49,Yes,Service Delivery Site,Permanent,School,Kings County,NY
Northeast Elementary School SBHC,Yes,Service Delivery Site,Permanent,School,Fairfield County,CT
EASTSIDE REHAB & LIVING CTR,Yes,Service Delivery Site,Permanent,Nursing Home,Penobscot County,ME
Temporary Site - Pineville Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bell County,KY
Gouverneur Diagnostic &amp; Treatment Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY
NORWALK REGIONAL HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA
New Port Richey Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pasco County,FL
Mountainburg Family Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Crawford County,AR
Amity Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,AR
Norman Thomas High School,Yes,Service Delivery Site,Permanent,School,New York County,NY
STAR OF HOPE MEN'S SHELTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Harris County,TX
CHCB Mobile Van,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Erie County,NY
Second Mile,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fort Bend County,TX
PLANNED PARENTHOOD MAR MONTE WESTSIDE HEALTH CENTER,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Santa Cruz County,CA
Kahoka Dental,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clark County,MO
JCHCC-Your Dental Mobile Home,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Jefferson Parish,LA
THE METROPOLITAN SHC,Yes,Service Delivery Site,Seasonal,School,Providence County,RI
Spring Branch CHC - Healthy Community Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Harris County,TX
LAMPREY HEALTH CARE,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Rockingham County,NH
Family Health Center Columbia East,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Boone County,MO
Simpson Shelter,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hennepin County,MN
Calhoun Quality Health Care,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Calhoun County,AL
Queen Creek,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ
AZA HEALTH,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Clay County,FL
"SCRANTON PRIMARY HEALTH CARE CENTER, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lackawanna County,PA
Geneva Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Geneva County,AL
Virginia Garcia Memorial Health Center- Hillsboro Womens Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Washington County,OR
"DAVID RAINES COMMUNITY HEALTH CENTER, INC. - Shreveport",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Caddo Parish,LA
NorthShore Health Centers - Administration Offices,No,Administrative,Permanent,Unknown,Porter County,IN
CareSouth @ South Baton Rouge Charter Academy,Yes,Service Delivery Site,Seasonal,School,East Baton Rouge Parish,LA
Hillcrest Family Health Center - Annex,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Woodland Community College,Yes,Service Delivery Site,Seasonal,School,Yolo County,CA
Sunland Park Medical and Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dona Ana County,NM
"Charles Drew Health Center, Inc. at Northwest High School",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Douglas County,NE
IS 166 - Gershwin,Yes,Service Delivery Site,Seasonal,School,Kings County,NY
"Family Health Care Clinic, Inc.  --Rogersville",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lauderdale County,AL
"Stigler Health and Wellness Center, Sequoyah County - SALLISAW",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sequoyah County,OK
HealthPoint Hearne,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Robertson County,TX
CVHS Louisa,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Louisa County,VA
"West County Health Centers, Inc.",No,Administrative,Permanent,All Other Clinic Types,Sonoma County,CA
Neighborcare Health at Highland Park Elementary,Yes,Service Delivery Site,Seasonal,School,King County,WA
Santa Rosa Junior College - Petaluma Campus - Student Health Services Clinic - Richard Call Building,Yes,Service Delivery Site,Seasonal,School,Sonoma County,CA
"Family Health Center, Inc. Mobile Unit",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Jones County,MS
Missouri City Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fort Bend County,TX
San Ysidro Health Paradise Hills,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
KOYUK CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nome Census Area,AK
Paradise Medical Office,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stanislaus County,CA
Walung Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kosrae State,FM
Catherine&#39;s Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,MI
"Community Medical Centers, Weberstown Admin",No,Administrative,Permanent,Unknown,San Joaquin County,CA
HOUSE OF BREAD,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hartford County,CT
Association for Individual Development  - New Indian Trail Court,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kane County,IL
Alcona Health Center Pellston Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Emmet County,MI
Delhi Elementary & High School-Based Health Center,Yes,Service Delivery Site,Permanent,School,Richland Parish,LA
Contentnea-Savannah School,Yes,Service Delivery Site,Permanent,School,Lenoir County,NC
LEEWARD PEDIATRICS (dba JAMES AND ABIGAIL CAMPBELL CLINIC),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Honolulu County,HI
BHS Adelante Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA
Bessemer,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,AL
DeWitt Clinton High School,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bronx County,NY
Dot Lake Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Southeast Fairbanks Census Area,AK
Laura's Place,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA
Valley View Health Center - Pe Ell,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis County,WA
"MEMPHIS HEALTH CENTER, INC.",Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Shelby County,TN
CommuniCare Health Centers - Hill Country Village,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX
"Pasadena Health Center, Inc.- Mobile Clinic",Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Harris County,TX
Family Health Source Pediatric Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Volusia County,FL
Mirasol Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Umatilla County,OR
Cornerstone Care Uniontown Office,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fayette County,PA
PMS - Mandela International Magnet School,Yes,Service Delivery Site,Seasonal,School,Santa Fe County,NM
FAMILY HEALTH CENTER CROSSTOWN PKWY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kalamazoo County,MI
Station House,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Philadelphia County,PA
AccessHealth Stanaford Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Raleigh County,WV
FAMILY HEALTH SVCS OF COVENTRY,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,RI
Roscommon SBHC,Yes,Service Delivery Site,Permanent,School,Roscommon County,MI
Valley Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Herkimer County,NY
